ticker,min_date,max_date
A,1999-11-18,2017-11-06
AA,2016-11-01,2017-11-06
AAL,2005-09-27,2017-11-06
AAMC,2012-12-13,2017-11-06
AAN,1984-09-07,2017-11-06
AAOI,2013-09-26,2017-11-06
AAON,1992-12-16,2017-11-06
AAP,2001-11-29,2017-11-06
AAPL,1980-12-12,2017-11-06
AAT,2011-01-13,2017-11-06
AAWW,2005-11-09,2017-11-06
ABAX,1992-01-23,2017-11-06
ABBV,2013-01-02,2017-11-03
ABC,1995-04-04,2017-11-06
ABCB,1994-05-19,2017-11-06
ABCO,2001-11-13,2017-11-06
ABFS,1992-05-13,2014-04-30
ABG,2002-03-21,2017-11-06
ABM,1984-07-19,2017-11-06
ABMD,1987-07-30,2017-11-06
ABT,1983-04-06,2017-11-03
ACAD,2004-05-27,2017-11-06
ACAS,1997-09-02,2017-01-03
ACAT,1990-06-27,2017-03-06
ACC,2004-08-16,2017-11-06
ACCL,1995-12-06,2014-04-29
ACCO,2005-08-17,2017-11-06
ACE,1993-03-26,2016-01-14
ACET,1990-03-26,2017-11-06
ACFN,1992-02-11,2015-07-23
ACGL,1995-09-14,2017-11-06
ACHC,1994-03-04,2017-11-06
ACHN,2006-11-09,2017-11-06
ACI,1988-08-12,2016-01-11
ACIW,1995-02-27,2017-11-06
ACLS,2000-07-11,2017-11-06
ACM,2007-05-10,2017-11-06
ACN,2001-07-19,2017-11-06
ACO,1987-08-13,2014-05-08
ACOR,2006-02-10,2017-11-06
ACRE,2012-04-27,2017-11-06
ACRX,2011-02-11,2017-11-06
ACTG,2002-12-16,2017-11-06
ACW,2010-03-03,2016-11-17
ACXM,1984-09-07,2017-11-06
ADBE,1986-08-14,2017-11-06
ADC,1994-04-15,2017-11-06
ADES,2016-05-26,2017-11-06
ADI,1984-07-19,2017-11-06
ADM,1983-04-05,2017-11-06
ADMS,2014-04-10,2017-11-06
ADNC,2012-05-11,2015-06-30
ADP,1983-04-06,2017-11-06
ADS,2001-06-15,2017-11-06
ADSK,1985-07-01,2017-11-06
ADT,2012-10-01,2016-04-29
ADTN,1994-08-10,2017-11-06
ADUS,2009-10-28,2017-11-06
ADVS,1995-11-16,2015-07-07
AE,1984-09-07,2017-11-06
AEC,1993-11-11,2015-08-06
AEE,1998-01-02,2017-11-06
AEGN,1989-04-24,2017-11-06
AEGR,2010-10-22,2016-11-29
AEIS,1995-11-17,2017-11-06
AEL,2003-12-04,2017-11-06
AEO,1994-04-14,2017-11-06
AEP,1970-01-02,2017-11-06
AEPI,1986-01-31,2017-01-20
AERI,2013-10-25,2017-11-06
AES,1991-06-26,2017-11-06
AET,1977-01-03,2017-11-06
AF,1993-11-18,2017-09-29
AFAM,1993-02-19,2017-11-06
AFFX,1996-06-06,2016-03-31
AFG,1983-04-06,2017-11-06
AFH,2013-02-12,2017-11-06
AFL,1984-07-19,2017-11-06
AFOP,2000-11-30,2016-06-06
AFSI,2006-11-28,2017-11-06
AGCO,1992-04-20,2017-11-06
AGEN,2000-02-08,2017-11-06
AGII,1986-11-14,2017-11-06
AGIO,2013-07-24,2017-11-06
AGM,1995-08-18,2017-11-06
AGN,1989-06-22,2017-11-06
AGNC,2008-05-15,2017-11-06
AGO,2004-04-23,2017-11-06
AGTC,2014-03-27,2017-11-06
AGX,1995-08-18,2017-11-06
AGYS,1990-03-26,2017-11-06
AHC,2008-02-11,2017-11-06
AHH,2013-05-08,2017-11-06
AHL,2003-12-05,2017-11-06
AHP,2013-11-06,2017-11-06
AHS,2001-11-13,2016-10-26
AHT,2003-08-26,2017-11-06
AI,1997-12-23,2017-11-06
AIG,1984-09-07,2017-11-06
AIMC,2006-12-15,2017-11-06
AIN,1987-09-30,2017-11-06
AINV,2004-05-05,2017-11-06
AIQ,2001-07-31,2017-08-18
AIR,1984-07-19,2017-11-06
AIRM,1987-08-31,2017-04-20
AIT,1984-09-07,2017-11-06
AIV,1994-07-22,2017-11-06
AIZ,2004-02-05,2017-11-06
AJG,1984-09-07,2017-11-06
AKAM,1999-10-29,2017-11-06
AKAO,2014-03-12,2017-11-06
AKBA,2014-03-20,2017-11-06
AKR,1993-05-27,2017-11-06
AKRX,2002-08-02,2017-11-06
AKS,1994-03-30,2017-11-06
AL,2011-04-19,2017-11-06
ALB,1994-02-22,2017-11-06
ALCO,1973-05-03,2017-11-06
ALDR,2014-05-08,2017-11-06
ALE,1973-05-03,2017-11-06
ALEX,2012-06-14,2017-11-06
ALG,1993-03-19,2017-11-06
ALGN,2001-01-30,2017-11-06
ALGT,2006-12-08,2017-11-06
ALIM,2010-04-22,2017-11-06
ALJ,2005-07-28,2017-06-30
ALK,1983-01-03,2017-11-06
ALKS,1991-07-16,2017-11-06
ALL,1993-06-03,2017-11-06
ALLE,2013-11-18,2017-11-06
ALNY,2004-06-01,2017-11-06
ALOG,1984-09-07,2017-11-06
ALR,1996-08-06,2017-10-02
ALSN,2012-03-15,2017-11-06
ALTR,1988-04-04,2015-12-24
ALX,1984-07-19,2017-11-06
ALXN,1996-02-28,2017-11-06
AMAG,1986-06-12,2017-11-06
AMAT,1984-09-07,2017-11-06
AMBA,2012-10-10,2017-11-06
AMBC,2013-05-01,2017-11-06
AMBR,2014-03-21,2017-11-06
AMC,2013-12-18,2017-11-06
AMCC,1997-12-08,2017-01-26
AMCX,2011-06-16,2017-11-06
AMD,1983-03-21,2017-11-06
AME,1984-07-19,2017-11-06
AMED,1994-08-18,2017-11-06
AMG,1997-11-21,2017-11-06
AMGN,1984-09-07,2017-11-06
AMKR,1998-05-01,2017-11-06
AMNB,1999-04-13,2017-11-06
AMP,2005-09-15,2017-11-06
AMPE,2010-03-31,2017-11-06
AMRC,2010-07-22,2017-11-06
AMRE,2012-07-27,2015-02-18
AMRI,1999-02-04,2017-08-31
AMRS,2010-09-28,2017-11-06
AMSC,1991-12-12,2017-11-06
AMSF,2005-11-18,2017-11-06
AMSG,1997-12-04,2016-12-01
AMSWA,1984-09-07,2017-11-06
AMT,1998-02-27,2017-11-06
AMTD,1997-03-04,2017-11-06
AMTG,2011-07-22,2016-08-31
AMWD,1986-07-21,2017-11-06
AMZG,2006-06-15,2015-05-11
AMZN,1997-05-16,2017-11-06
AN,1992-03-03,2017-08-07
ANAC,2010-11-24,2016-06-24
ANAD,1995-04-21,2016-03-15
ANAT,1984-09-07,2017-11-06
ANCX,2004-07-19,2017-11-06
ANDE,1996-02-20,2017-11-06
ANDV,2017-08-03,2017-11-06
ANF,1996-09-26,2017-11-06
ANGI,2011-11-17,2017-11-06
ANGO,2004-06-01,2017-11-06
ANH,1998-03-12,2017-11-06
ANIK,1993-05-04,2017-11-06
ANIP,2000-05-05,2017-11-06
ANN,1991-05-17,2015-08-21
ANR,2005-02-15,2015-07-16
ANSS,1996-06-21,2017-11-06
ANTM,2001-10-30,2017-11-06
ANV,2007-05-10,2015-03-09
AOI,1995-04-03,2017-11-06
AOL,2009-11-24,2015-06-22
AON,1984-09-07,2017-11-06
AOS,1984-09-07,2017-11-06
AOSL,2010-04-29,2017-11-06
AP,1984-07-19,2017-11-06
APA,1979-05-15,2017-11-06
APAGF,1981-07-21,2015-01-28
APAM,2013-03-07,2017-11-06
APC,1986-09-09,2017-11-06
APD,1983-04-06,2017-11-06
APEI,2007-11-09,2017-11-06
APH,1991-11-08,2017-11-06
APL,2000-01-28,2015-02-27
APOG,1973-05-03,2017-11-06
APOL,1995-01-04,2017-02-01
APP,2006-03-07,2015-10-05
ARAY,2007-02-08,2017-11-06
ARC,2005-02-04,2017-11-06
ARCB,1992-05-13,2017-11-06
ARCC,2004-10-05,2017-11-06
ARCW,1999-06-14,2017-11-06
ARE,1997-05-28,2017-11-06
AREX,2007-11-08,2017-11-06
ARG,1986-12-22,2016-05-20
ARI,2009-09-24,2017-11-06
ARIA,1994-09-19,2017-02-15
ARII,2006-01-23,2017-11-06
ARNA,2000-07-28,2017-11-06
ARNC,1962-01-02,2017-11-06
ARO,2002-05-16,2016-04-21
AROW,1984-09-07,2017-11-06
ARPI,2013-05-09,2016-02-29
ARQL,1996-10-16,2017-11-06
ARR,2007-12-03,2017-11-06
ARRS,1993-09-17,2017-11-06
ARRY,2000-11-30,2017-11-06
ARSD,2006-07-31,2014-06-17
ARTC,1996-02-05,2014-05-29
ARTNA,1996-05-24,2017-11-06
ARUN,2007-03-27,2015-05-18
ARW,1984-07-19,2017-11-06
ARWR,1997-01-06,2017-11-06
ARX,2010-11-19,2014-09-12
ASBC,1984-09-07,2014-12-22
ASC,2013-08-01,2017-11-06
ASCMA,2008-09-18,2017-11-06
ASEI,1984-09-07,2016-09-09
ASGN,1992-09-23,2017-11-06
ASH,1983-04-06,2017-11-06
ASNA,1990-03-26,2017-11-06
ASPS,2009-08-06,2017-11-06
ASPX,2014-02-05,2015-05-04
ASTE,1986-06-19,2017-11-06
AT,2009-12-03,2017-11-06
ATEC,2006-06-12,2017-11-06
ATEN,2014-03-21,2017-11-06
ATHN,2007-09-20,2017-11-06
ATI,1999-11-29,2017-04-25
ATK,1990-10-03,2015-02-09
ATLO,2000-02-15,2017-11-06
ATMI,1993-11-23,2014-04-30
ATML,1991-03-19,2016-04-04
ATNI,1991-11-14,2017-11-06
ATNM,2012-12-27,2017-11-06
ATNY,2006-11-07,2016-04-22
ATO,1983-12-28,2017-11-06
ATR,1993-04-23,2017-11-06
ATRC,2005-08-05,2017-11-06
ATRI,1984-09-07,2017-11-06
ATRO,1984-09-07,2017-11-06
ATRS,1996-10-03,2017-11-06
ATSG,2003-07-23,2017-11-06
ATU,2000-07-24,2017-11-06
ATVI,1993-10-25,2017-11-06
ATW,1984-09-07,2017-10-05
AUXL,2004-07-26,2015-01-29
AVA,1987-11-16,2017-11-06
AVAV,2007-01-23,2017-11-06
AVB,1994-03-11,2017-11-06
AVD,1988-06-22,2017-11-06
AVEO,2010-03-12,2017-11-06
AVG,2012-02-02,2016-11-07
AVGO,2009-08-06,2017-11-06
AVHI,2003-05-23,2017-11-06
AVID,2014-12-08,2017-11-06
AVIV,2013-03-21,2015-04-01
AVNR,1990-05-08,2015-01-12
AVNW,1991-02-07,2017-11-06
AVP,1972-06-01,2017-04-25
AVT,1973-05-03,2017-11-06
AVX,1995-08-15,2017-11-06
AVY,1983-12-29,2017-11-06
AWAY,2011-06-29,2015-12-14
AWH,2006-07-12,2017-07-27
AWI,2006-10-18,2017-11-06
AWK,2008-04-23,2017-11-06
AWR,1990-03-26,2017-11-06
AXAS,1991-05-08,2017-11-06
AXDX,1996-11-19,2017-11-06
AXE,1984-07-19,2017-11-06
AXL,1999-01-29,2017-11-06
AXLL,1988-10-05,2016-08-30
AXP,1972-06-01,2017-11-06
AXS,2003-07-01,2017-11-06
AYI,2001-12-03,2017-11-06
AYR,2006-08-08,2017-11-06
AZO,1991-04-02,2017-11-06
AZPN,1994-10-26,2017-11-06
AZZ,1984-09-07,2017-11-06
B,1984-09-07,2017-11-06
BA,1962-01-02,2017-11-06
BABY,2001-07-31,2017-11-06
BAC,1986-05-29,2017-11-06
BAGL,2007-06-08,2014-11-06
BAGR,2008-11-19,2015-11-06
BAH,2010-11-18,2017-11-06
BALT,2010-03-10,2015-07-17
BANC,2002-10-01,2017-11-06
BANF,1990-03-26,2017-11-06
BANR,1995-11-01,2017-11-06
BAS,2005-12-09,2017-11-06
BAX,1981-10-27,2017-11-06
BBBY,1992-06-05,2017-07-25
BBCN,1998-01-29,2016-07-29
BBG,2004-12-10,2017-11-06
BBGI,2000-02-11,2017-11-06
BBNK,2003-01-27,2015-06-30
BBOX,1992-12-17,2017-11-06
BBRG,2010-10-21,2017-11-06
BBSI,1993-06-14,2017-11-06
BBT,1990-03-26,2017-11-06
BBW,2004-10-28,2017-11-06
BBX,1996-03-12,2017-11-06
BBY,1985-04-19,2017-11-06
BC,1981-12-31,2017-11-06
BCC,2013-02-06,2017-11-06
BCEI,2011-12-15,2017-11-06
BCO,1996-01-03,2017-11-06
BCOR,1998-12-15,2017-11-06
BCOV,2012-02-17,2017-11-06
BCPC,1986-06-03,2017-11-06
BCR,1983-04-06,2017-11-06
BCRX,1994-03-04,2017-11-06
BDBD,2007-05-01,2016-01-15
BDC,1993-11-24,2017-11-06
BDE,1998-05-27,2017-08-11
BDGE,1999-01-12,2017-11-06
BDN,1986-07-24,2017-11-06
BDSI,2002-07-25,2017-11-06
BDX,1983-04-06,2017-11-06
BEAM,1977-01-03,2014-04-30
BEAT,2008-03-19,2017-11-06
BEAV,1990-04-25,2017-04-12
BEBE,1998-06-17,2017-11-06
BECN,2004-09-23,2017-11-06
BEE,2004-07-26,2015-12-11
BELFB,1998-07-10,2017-11-06
BEN,1984-09-07,2017-11-06
BERY,2012-10-04,2017-11-06
BF_B,1984-09-07,2017-11-06
BFAM,2013-01-25,2017-11-06
BFIN,2005-06-28,2017-11-06
BFS,1993-08-19,2017-11-06
BG,2001-08-02,2017-11-06
BGC,1997-05-16,2017-11-06
BGCP,1999-12-10,2017-11-06
BGFV,2002-09-17,2017-11-06
BGG,1984-09-07,2017-11-06
BGS,2007-05-23,2017-11-06
BH,1992-02-25,2017-11-06
BHB,1997-09-23,2017-11-06
BHE,1990-06-28,2017-11-06
BHF,2017-08-08,2017-11-06
BHGE,2017-07-06,2017-11-06
BHI,1987-04-07,2017-07-03
BHLB,2000-06-28,2017-11-06
BID,1988-05-13,2017-11-06
BIDU,2005-08-05,2017-11-06
BIG,1985-06-20,2017-11-06
BIIB,1991-09-17,2017-11-06
BIO,1980-02-27,2017-11-06
BIOL,1992-11-12,2017-11-06
BIOS,1996-08-15,2017-11-06
BIRT,1998-07-17,2015-01-15
BJRI,1996-10-10,2017-11-06
BK,1973-05-03,2017-11-06
BKCC,2007-06-27,2017-11-06
BKD,2005-11-22,2017-11-06
BKE,1992-05-11,2017-11-06
BKH,1984-09-07,2017-11-06
BKMU,2001-03-06,2017-11-06
BKS,1993-09-28,2017-11-06
BKU,2011-01-28,2017-11-06
BKW,2012-06-20,2014-12-12
BKYF,1999-02-25,2015-06-19
BLDR,2005-06-28,2017-11-06
BLK,1999-10-01,2017-11-06
BLKB,2004-07-26,2017-11-06
BLL,1984-09-07,2017-11-06
BLMN,2012-08-08,2017-11-06
BLOX,2012-04-20,2016-11-04
BLT,1999-08-20,2016-04-11
BLUE,2013-06-19,2017-11-06
BLX,1992-09-24,2017-11-06
BMI,1984-09-07,2017-11-06
BMR,2004-08-09,2016-01-27
BMRC,1999-12-23,2017-11-06
BMRN,1999-07-26,2017-11-06
BMS,1984-09-07,2017-11-06
BMTC,1985-08-08,2017-11-06
BMY,1972-06-01,2017-11-06
BNCL,2007-07-16,2017-11-06
BNCN,2003-07-15,2017-06-15
BNFT,2013-09-18,2017-11-06
BNNY,2012-03-28,2014-10-20
BOBE,1984-09-05,2017-11-06
BODY,2010-10-15,2015-03-11
BOFI,2005-03-16,2017-11-06
BOH,1984-09-07,2017-11-06
BOKF,1991-09-05,2017-11-06
BOLT,1995-02-01,2014-11-18
BONT,1991-09-24,2017-11-06
BOOM,1989-01-05,2017-11-06
BP,1977-01-03,2017-11-06
BPFH,1994-02-14,2017-11-06
BPI,2009-04-15,2017-11-06
BPOP,1990-03-26,2017-11-06
BPTH,2008-03-04,2017-11-06
BPZ,2003-10-07,2015-03-02
BR,2007-04-02,2017-11-06
BRC,1984-09-07,2017-11-06
BRCD,1999-05-25,2017-11-06
BRCM,1998-04-17,2016-01-29
BRDR,2014-03-21,2015-06-09
BREW,1995-08-18,2017-11-06
BRK_A,1980-03-17,2017-11-06
BRK_B,1996-05-09,2017-11-06
BRKL,1998-03-25,2017-11-06
BRKR,2000-08-04,2017-11-06
BRKS,1995-02-02,2017-11-06
BRLI,1993-11-22,2015-08-20
BRO,1992-03-03,2017-11-06
BRS,1990-03-26,2017-11-06
BRSS,2013-05-23,2017-11-06
BRT,1973-05-03,2017-11-06
BSET,1984-09-07,2017-11-06
BSFT,2010-06-16,2017-11-06
BSRR,1996-05-30,2017-11-06
BSTC,1991-11-15,2017-11-06
BSX,1992-05-19,2017-11-06
BTH,1994-05-18,2015-10-14
BTU,2001-05-22,2017-11-06
BTX,1992-03-06,2017-11-06
BURL,2013-10-02,2017-11-06
BUSE,1998-10-06,2017-11-06
BV,2012-02-24,2017-11-06
BWA,1993-08-13,2017-11-06
BWC,2010-08-02,2015-06-30
BWINB,1986-05-14,2017-11-06
BWLD,2003-11-24,2017-11-06
BWS,1984-09-07,2015-05-28
BXC,2004-12-14,2017-11-06
BXLT,2015-07-01,2016-06-02
BXP,1997-06-18,2017-11-06
BXS,1985-10-16,2017-11-06
BYD,1993-10-18,2017-11-06
BYI,1982-01-12,2014-11-21
BZH,1994-02-23,2017-11-06
C,1977-01-03,2017-11-06
CA,1984-09-07,2017-11-06
CAB,2004-07-06,2017-09-25
CAC,1997-10-08,2017-11-06
CACB,1994-01-21,2017-05-30
CACC,1992-06-05,2017-11-06
CACI,1984-09-07,2017-11-06
CACQ,2013-11-19,2017-10-05
CAG,1984-09-07,2017-11-06
CAH,1987-12-31,2017-11-06
CAKE,1992-09-18,2017-11-06
CALD,2003-11-20,2017-11-06
CALL,1996-02-07,2017-11-06
CALM,1996-12-12,2017-11-06
CALX,2010-03-24,2017-11-06
CAM,1995-07-05,2016-04-01
CAMP,1984-09-07,2017-11-06
CAP,2007-05-16,2015-08-13
CAR,1990-01-12,2017-11-06
CARA,2014-01-31,2017-11-06
CARB,2011-08-11,2017-11-06
CAS,1980-03-17,2016-12-06
CASH,1993-09-21,2017-11-06
CASS,1996-01-02,2017-11-06
CASY,1983-10-20,2017-11-06
CAT,1962-01-02,2017-11-06
CATM,2007-12-13,2017-11-06
CATO,1987-04-23,2017-11-06
CATY,1990-12-17,2017-11-06
CAVM,2007-05-02,2017-11-06
CB,1984-09-07,2017-11-06
CBB,1987-05-21,2017-11-06
CBEY,2005-11-10,2014-07-18
CBF,2012-09-20,2017-11-06
CBG,2004-06-10,2017-11-06
CBI,1997-03-27,2017-11-06
CBK,1992-03-31,2017-11-06
CBL,1993-10-28,2017-11-06
CBM,1987-09-23,2017-11-06
CBOE,2010-06-15,2017-11-06
CBPX,2014-02-05,2017-11-06
CBR,1994-03-17,2017-04-10
CBRL,1984-09-07,2017-11-06
CBS,2005-12-05,2017-11-06
CBSH,1984-09-07,2017-11-06
CBST,1996-10-25,2015-01-21
CBT,1980-11-05,2017-11-06
CBU,1985-11-27,2017-11-06
CBZ,1995-04-27,2017-11-06
CCBG,1997-02-03,2017-11-06
CCC,1987-06-03,2017-11-06
CCE,1986-11-24,2017-11-06
CCF,1995-10-25,2017-11-06
CCG,2010-10-14,2016-03-02
CCI,1998-08-18,2017-11-06
CCK,1984-12-18,2017-11-06
CCL,1989-01-05,2017-11-06
CCMP,2000-04-05,2017-11-06
CCNE,1996-05-30,2017-11-06
CCO,2005-11-14,2017-11-06
CCOI,2002-02-05,2017-11-06
CCRN,2001-10-25,2017-11-06
CCXI,2012-02-08,2017-11-06
CDE,1990-04-12,2017-11-06
CDI,1989-06-29,2017-09-12
CDNS,1990-03-26,2017-11-06
CDR,1993-02-19,2017-11-06
CE,2005-01-21,2017-11-06
CEB,1999-02-23,2017-04-04
CECE,1993-02-19,2017-11-06
CECO,1998-01-29,2017-11-06
CELG,1990-03-26,2017-11-06
CEMP,2012-02-06,2017-11-03
CENTA,2007-02-06,2017-11-06
CENX,1996-03-29,2017-11-06
CERN,1990-03-26,2017-11-06
CERS,1997-01-31,2017-11-06
CETV,1994-10-14,2017-11-06
CEVA,2002-11-01,2017-11-06
CF,2005-08-11,2017-11-06
CFFI,1998-05-07,2017-11-06
CFFN,1999-04-01,2017-11-06
CFG,2014-09-24,2017-11-06
CFI,1990-03-26,2017-07-12
CFN,2009-08-21,2015-03-16
CFNB,1987-04-09,2017-11-06
CFNL,1998-07-17,2017-04-21
CFR,1990-03-26,2017-11-06
CFX,2008-05-08,2017-11-06
CGI,1994-01-21,2017-11-06
CGNX,1989-10-09,2017-11-06
CHCO,1993-02-19,2017-11-06
CHD,1986-03-06,2017-11-06
CHDN,1993-03-29,2017-11-06
CHDX,1994-08-19,2014-09-29
CHE,1973-05-03,2017-11-06
CHEF,2011-07-28,2017-11-06
CHFC,1992-03-11,2017-11-06
CHFN,2002-08-02,2017-11-06
CHGG,2013-11-13,2017-11-06
CHH,1996-10-16,2017-11-06
CHK,1993-02-16,2017-11-06
CHKP,1996-06-28,2017-11-06
CHMG,1999-01-04,2017-11-06
CHMT,2010-10-26,2017-04-20
CHRW,1997-10-16,2017-11-06
CHS,1993-03-24,2017-11-06
CHSP,2010-01-26,2017-11-06
CHTP,2005-11-10,2014-06-23
CHTR,2010-01-05,2017-11-06
CHUY,2012-07-24,2017-11-06
CI,1982-03-31,2017-11-06
CIA,1988-12-05,2017-11-06
CIDM,2003-11-10,2017-11-06
CIE,2009-12-16,2017-11-06
CIEN,1997-02-07,2017-11-06
CIFC,2005-06-29,2016-11-21
CIM,2007-11-29,2017-11-06
CINF,1990-03-26,2017-11-06
CIR,1999-10-18,2017-11-06
CIT,2009-12-10,2017-11-06
CIX,1998-03-06,2017-11-06
CJES,2011-07-29,2016-07-20
CKEC,2001-01-18,2016-12-21
CKH,1992-12-17,2017-11-06
CKP,1986-11-12,2016-05-13
CL,1977-01-03,2017-11-06
CLC,1990-03-26,2017-02-27
CLCT,1999-11-05,2017-11-06
CLD,2009-11-20,2017-11-06
CLDT,2010-04-16,2017-11-06
CLDX,1990-03-26,2017-11-06
CLF,1987-11-05,2017-11-06
CLFD,1986-08-07,2017-11-06
CLGX,1990-03-23,2017-11-06
CLH,1990-03-26,2017-11-06
CLI,1994-08-25,2017-11-06
CLMS,2004-10-28,2017-02-21
CLNE,2007-05-25,2017-11-06
CLNY,2009-09-24,2017-01-10
CLR,2007-05-15,2017-11-06
CLUB,2006-06-02,2017-11-06
CLVS,2011-11-16,2017-11-06
CLW,2008-12-05,2017-11-06
CLX,1983-03-21,2017-11-06
CMA,1990-03-26,2017-11-06
CMC,1987-11-05,2017-11-06
CMCO,1996-02-28,2017-11-06
CMCSA,1988-07-07,2017-11-06
CMCSK,1990-03-26,2015-12-11
CME,2002-12-06,2017-11-06
CMG,2006-01-26,2017-11-06
CMI,1984-12-18,2017-11-06
CMLS,2002-04-09,2017-11-06
CMN,1993-02-19,2016-12-02
CMO,1987-11-05,2017-11-06
CMP,2003-12-12,2017-11-06
CMRX,2013-04-11,2017-11-06
CMS,1984-12-31,2017-11-06
CMTL,1992-02-18,2017-11-06
CNA,1985-07-11,2017-11-06
CNBC,1996-05-30,2014-06-30
CNBKA,1990-03-27,2017-11-06
CNC,2001-12-13,2017-11-06
CNDO,2011-11-17,2015-04-27
CNK,2007-04-24,2017-11-06
CNL,1987-11-05,2016-04-13
CNMD,1990-03-26,2017-11-06
CNO,2003-09-10,2017-11-06
CNOB,1996-05-30,2017-11-06
CNP,1970-01-02,2017-11-06
CNQR,1998-12-16,2014-12-04
CNS,2004-08-16,2017-11-06
CNSI,2012-10-24,2015-09-08
CNSL,2005-07-22,2017-11-06
CNVR,2000-03-31,2014-12-10
CNW,1980-01-02,2015-10-29
CNX,1999-04-30,2017-04-25
COB,1996-11-15,2016-10-25
COBZ,1998-06-18,2017-11-06
COCO,1999-02-05,2015-02-13
CODE,2010-05-18,2015-03-12
