CountyName,District
Adair,KY1
Allen,KY1
Anderson,KY6
Ballard,KY1
Barren,KY2
Bath,KY4
Bell,KY5
Boone,KY4
Bourbon,KY6
Boyd,KY4
Boyle,KY6
Bracken,KY4
Breathitt,KY5
Breckinridge,KY2
Bullitt,KY2
Butler,KY1
Caldwell,KY1
Calloway,KY1
Campbell,KY4
Carlisle,KY1
Carroll,KY4
Carter,KY4
Casey,KY1
Christian,KY1
Clark,KY6
Clay,KY5
Clinton,KY1
Crittenden,KY1
Cumberland,KY1
Daviess,KY2
Edmonson,KY2
Elliott,KY4
Estill,KY6
Fayette,KY6
Fleming,KY4
Floyd,KY5
Franklin,KY6
Fulton,KY1
Gallatin,KY4
Garrard,KY6
Grant,KY4
Graves,KY1
Grayson,KY2
Green,KY2
Greenup,KY4
Hancock,KY2
Hardin,KY2
Harlan,KY5
Harrison,KY4
Hart,KY2
Henderson,KY1
Henry,KY4
Hickman,KY1
Hopkins,KY1
Jackson,KY5
Jefferson,KY3
Jessamine,KY6
Johnson,KY5
Kenton,KY4
Knott,KY5
Knox,KY5
LaRue,KY2
Laurel,KY5
Lawrence,KY5
Lee,KY5
Leslie,KY5
Letcher,KY5
Lewis,KY4
Lincoln,KY6
Livingston,KY1
Logan,KY1
Lyon,KY1
Madison,KY6
Magoffin,KY5
Marion,KY2
Marshall,KY1
Martin,KY5
Mason,KY4
McCracken,KY1
McCreary,KY5
McLean,KY1
Meade,KY2
Menifee,KY5
Mercer,KY6
Metcalfe,KY1
Monroe,KY1
Montgomery,KY6
Morgan,KY5
Muhlenberg,KY1
Nelson,KY2
Nicholas,KY4
Ohio,KY2
Oldham,KY4
Owen,KY4
Owsley,KY5
Pendleton,KY4
Perry,KY5
Pike,KY5
Powell,KY6
Pulaski,KY5
Robertson,KY4
Rockcastle,KY5
Rowan,KY5
Russell,KY1
Scott,KY6
Shelby,KY2
Simpson,KY1
Spencer,KY2
Taylor,KY2
Todd,KY1
Trigg,KY1
Trimble,KY4
Union,KY1
Warren,KY2
Washington,KY2
Wayne,KY5
Webster,KY1
Whitley,KY5
Wolfe,KY5
Woodford,KY6